 Module: 20 TL: 11 KP: 77 Aw: 4149 Sch: 911 P: 1352 St: 387 W: 755 R: 211 L: 0 sS: 15 aZ: 14 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2032 St: 130 W: 986 R: 148 L: 0 sS: 15 sZ: 52 aZ: 104 Modulliste: (Energiepanzer, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 5336 Sch: 911 P: 2176 St: 260 W: 826 R: 148 L: 0 sS: 15 sZ: 56 aZ: 120 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 911 P: 2176 St: 285 W: 826 R: 168 L: 0 sS: 15 sZ: 57 aZ: 115 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2176 St: 310 W: 826 R: 188 L: 0 sS: 15 sZ: 58 aZ: 110 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 89 Aw: 5227 Sch: 911 P: 2264 St: 100 W: 826 R: 228 L: 0 sS: 15 sZ: 60 aZ: 110 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 92 Aw: 5067 Sch: 911 P: 2264 St: 125 W: 826 R: 248 L: 0 sS: 15 sZ: 61 aZ: 105 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2192 St: 100 W: 1026 R: 148 L: 0 sS: 15 sZ: 55 aZ: 107 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)

 Module: 20 TL: 11 KP: 77 Aw: 3168 Sch: 955 P: 2000 St: 172 W: 904 R: 354 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 3168 Sch: 933 P: 2000 St: 205 W: 1083 R: 317 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 3286 Sch: 933 P: 2000 St: 176 W: 702 R: 380 L: 0 sS: 15 sZ: 56 aZ: 5 Modulliste: (Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 3168 Sch: 911 P: 2000 St: 238 W: 1262 R: 280 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 3286 Sch: 911 P: 2000 St: 209 W: 881 R: 343 L: 0 sS: 15 sZ: 56 aZ: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 3613 Sch: 911 P: 2000 St: 172 W: 712 R: 320 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 3168 Sch: 933 P: 2088 St: 200 W: 773 R: 317 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 3168 Sch: 911 P: 2088 St: 233 W: 952 R: 280 L: 0 sS: 15 sZ: 56 aZ: 8 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 3050 Sch: 933 P: 2016 St: 254 W: 804 R: 254 L: 0 sS: 15 sZ: 53 aZ: 8 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 3050 Sch: 911 P: 2016 St: 287 W: 983 R: 217 L: 0 sS: 15 sZ: 53 aZ: 8 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, Antimateriemarschflugkörper, Antimateriemarschflugkörper, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
